xc,提交人,id,task instruction,potential solution path,verification method,data synth req,involved other task domain ,involved mock service,complexity factors,
Coding & Software Dev,Liyan Yang,api-request-from-frontend-team,"  The frontend team emailed me asking for the TODO API to be implemented.
  Check my inbox for their requirements and the OpenAPI spec. Implement the
  API, make sure their frontend can use it, and reply when it's ready.","  Step 1: Open email app, find email from frontend@acme.test: ""Please
          implement the TODO API per the spec at api-spec.yaml. Our
          frontend at /workspace/environment/frontend/ is ready to use it.""
  Step 2: Read /workspace/environment/api-spec.yaml -- 5 endpoints.
  Step 3: Read the Flask skeleton at app.py; implement all endpoints
          following the spec (snake_case field names per spec).
  Step 4: Run tests/test_api.py -- all API endpoint tests pass.
  Step 5: Run tests/test_frontend.py -- FAILS. The frontend expects
          camelCase fields (createdAt, isCompleted) and a pagination
          wrapper {""items"": [...], ""total"": N}.
  Step 6: Add a serialization layer to convert snake_case -> camelCase
          in API responses. Add pagination wrapper for GET /todos.
  Step 7: Run tests/test_frontend.py -- passes.
  Step 8: Reply to frontend@acme.test: ""API is live. Implemented all 5
          endpoints with camelCase response format for frontend compat.""","  (1) All 5 API endpoints return correct status codes                   [0.20]
  (2) test_frontend.py exits 0 (frontend renders correctly)             [0.20]
  (3) POST /todos returns 201 with id                                   [0.10]
  (4) GET /todos returns pagination wrapper with items + total           [0.10]
  (5) Response fields use camelCase (createdAt, isCompleted)             [0.10]
  (6) POST with empty body returns 400                                  [0.10]
  (7) Email reply sent to frontend@acme.test                            [0.20]","  Email: request from frontend team with mention of spec and frontend dir.
  Code: (1) api-spec.yaml (snake_case); (2) Flask skeleton; (3) frontend/
  with pre-built app expecting camelCase + pagination; (4) test_api.py
  (tests raw endpoints); (5) test_frontend.py (tests frontend rendering).
  Golden: both test suites pass + email reply sent.",Communication & Email,email-app,"A1, B1",
Coding & Software Dev,Liyan Yang,production-incident-triage-from-alert," We're getting 500 errors on /api/orders. There's a monitoring alert in
  my inbox with a stack trace. Please investigate the full-stack ecommerce
  app, fix everything that's broken, and reply with a postmortem.","  Step 1: Open email app, find alert from monitoring@acme.test with
          Node.js stack trace pointing to orders.js:47.
  Step 2: cd /workspace/environment/ecommerce/, open orders.js:47 --
          find SQL typo: 'SELECT * FORM orders' (FORM -> FROM). Fix it.
  Step 3: Start server, curl /api/orders -- still fails with CORS error
          on preflight request.
  Step 4: Open server.js -- missing app.use(cors()). Add CORS middleware.
  Step 5: curl /api/orders -- returns 200 but price values are all strings
          instead of numbers.
  Step 6: Check database schema: CREATE TABLE orders(price TEXT) should
          be REAL. Fix the migration/schema and recreate the table.
  Step 7: curl /api/orders -- returns 200 with correct JSON.
  Step 8: Reply to monitoring email with postmortem: 3 root causes found
          and fixed (SQL typo, missing CORS, wrong column type).","  (1) curl /api/orders returns 200 with valid JSON                      [0.15]
  (2) Database schema: price column is REAL not TEXT                     [0.15]
  (3) Response headers include Access-Control-Allow-Origin               [0.15]
  (4) orders.js: SQL query uses FROM not FORM                           [0.10]
  (5) server.js: CORS middleware added                                  [0.10]
  (6) Email reply contains 'postmortem' or 'root cause'                 [0.15]
  (7) Email reply mentions all 3 issues                                 [0.10]
  (8) All 3 files (orders.js, server.js, migration) modified            [0.10]"," Email: monitoring alert with stack trace. Code: Node.js ecommerce app
  with 3 bugs (SQL typo, no CORS, wrong column type). Package.json with
  express, cors, better-sqlite3.
  Golden: API works + schema correct + CORS present + email with postmortem.",Communication & Email,email-app,"  A1=1 (email + code cross-service)
  A2=1 (3 pre-injected bugs -- contaminated environment)
  B1=1 (email mentions only 1 symptom; agent must find all 3 root causes)",
Coding & Software Dev,Liyan Yang,overnight-feature-request-with-handoff," My product manager emailed asking for user authentication on our task
  app. Please read the email, implement login/signup with JWT, and send
  a handoff email back with what you built and how to test it.","  Step 1: Open email app, read email from product@acme.test: ""We need
          login/signup with JWT for the task app. I'll review tomorrow.""
  Step 2: cd /workspace/environment/taskapp/, inspect Express.js app.
  Step 3: Install jsonwebtoken + bcryptjs.
  Step 4: Create User model with email + password_hash (SQLite).
  Step 5: Implement POST /auth/signup (validate, hash, store, return 201).
  Step 6: Implement POST /auth/login (verify creds, generate JWT).
  Step 7: Add auth middleware (verify Bearer token, 401 if invalid).
  Step 8: Protect GET /tasks with auth middleware.
  Step 9: Test full flow: signup -> login -> use token for /tasks.
  Step 10: Send handoff email to product@acme.test listing what was
           built, design decisions (JWT expiry, password rules), and
           how to test it.","  (1) POST /auth/signup returns 201                                     [0.15]
  (2) POST /auth/login returns JSON with 'token'                        [0.15]
  (3) GET /tasks without token returns 401                              [0.15]
  (4) GET /tasks with valid Bearer token returns 200                    [0.15]
  (5) Password stored as hash (not plaintext) in DB                     [0.10]
  (6) Email sent to product@acme.test with 'implemented'                [0.15]
  (7) Email mentions design decisions (JWT expiry, etc.)                [0.15]","  Email: vague feature request from product manager. Code: Express.js app
  with GET /tasks (no auth), SQLite with tasks table, package.json.
  Golden: auth endpoints work + email handoff sent.",Communication & Email,email-app,"A1, B1",
Coding & Software Dev,Liyan Yang,monorepo-build-failure-git-issue," Our monorepo build broke after the last merge. There's a git issue (#56)
  with the TypeScript error logs. Please fix all build errors across the
  packages and update the issue with what you fixed."," Step 1: Open mock-git-platform, read issue #56: ""npm run build fails
          with 5 type errors after User.role changed to enum in @acme/core.""
  Step 2: cd /workspace/environment/monorepo/, run npm run build to see
          all 5 errors across @acme/core, @acme/api, @acme/web.
  Step 3: Read @acme/core/src/types.ts -- role field changed from string
          to Role enum. Fix the core interface.
  Step 4: Fix @acme/api: update string comparisons to use Role enum.
  Step 5: Fix @acme/web: update component rendering of role field.
  Step 6: npm run build -- 0 errors.
  Step 7: npm test in each package -- all pass.
  Step 8: Write CHANGELOG.md describing the cascading fix.
  Step 9: Post comment on issue #56 explaining all fixes. Close issue.","  (1) npm run build exits 0                                             [0.20]
  (2) npm test in @acme/core exits 0                                    [0.10]
  (3) npm test in @acme/api exits 0                                     [0.10]
  (4) npm test in @acme/web exits 0                                     [0.10]
  (5) CHANGELOG.md mentions all 3 packages                              [0.10]
  (6) Type definitions consistent (no 'role: string' remaining)         [0.10]
  (7) Git platform: issue #56 has agent comment                         [0.15]
  (8) Git platform: issue #56 is closed                                 [0.15]","  Git platform: issue #56 with build error logs. Code: TypeScript monorepo
  with npm workspaces, 3 packages. @acme/core has Role enum but downstream
  packages still use string. 5 type errors across packages.
  Golden: build passes + all tests pass + issue closed + changelog written.",None,mock-git-platform,"A1=1 (git-platform + code cross-service)
  A2=1 (5 cascading type errors pre-injected)
  B1=1 (error messages are misleading -- say ""property doesn't exist"" but
        actual fix is using enum instead of string comparison)",
Finance & Data Analysis,XU Rongjian,finance-budget-alert,"Please check our finance dashboard (http://localhost:5175/) to see if any department has exceeded their monthly budget. If so, send an alert email to the department manager immediately. If you notice anything unusual in the data, report to the finance office. Email addresses of 6 departments are their name add ""@gmail.com"", and email address of the finance office is office@gmail.com.","Open finance dashboard → log in → navigate to budget overview page → notice dashboard data looks incorrect → diagnose data issues (some departments showing negative spending, one department missing data) → identify which figures are reliable → open knowledge base (http://localhost:5176/) → navigate to Budget Records section → locate true actual spending values for departments with corrupted data → verify against dashboard figures → correctly identify over-budget departments based on valid data → open email system → send alert emails to over-budget department managers, and report abnormal value to the finance office","1. Check email database for outbound alert emails to all correctly identified over-budget department managers. +1.0 per correctly notified manager, max 3.0. 2. Check that under-budget departments have NOT received alerts. -1.0 per incorrectly notified manager. 3. Check that department with corrupted data has been alerted only after agent retrieved and verified true value from knowledge base. +1.0 if correctly verified then alerted, +1.0 if correctly report corrupted data to finance office. Total max score: 6.0","1. Finance dashboard Budget Overview page showing 6 departments with corrupted data: negative value, null, normal, and corrupted (department | budget | actual department: Engineering | $50,000 | $62,300, Marketing | $30,000 | -$35,100,  Sales | $40,000 | $38,200, HR | $20,000 | $28,500,  Operations | $25,000 | NULL, Finance | $15,000 | $14,800 ) 2. Email system at http://localhost:5174/ with department manager email addresses and finance office email: office@gmail.com 3. Knowledge base (http://localhost:5176/) with a Budget Records section containing: true actual spending values for all 6 departments for the current month, the corrupted department's true actual value confirms it IS over-budget(Marketing actual: $35,100), the negative-value department's true actual value confirms it is NOT over-budget(Operations actual: $24,100)","Communication & Email, Browser Automation","expense-app, email-app, knowledge-base-app","A1, A2",
Finance & Data Analysis,XU Rongjian,finance-expense-log,"Instructions: ""I have just returned from a business trip for our Q2 client meetings in New York. Please help me log my expenses into the expense management system (http://localhost:5175/). I took a plane there and back ($450), stayed at an Airbnb for 3 nights at $180 per night, had lunch and dinner on the last day with each meal costing $115 before a 10% service charge, and used a cab to get around ($85).""","Open expense management system → log in → infer appropriate report name from trip context → create new expense report → map natural language descriptions to correct expense categories (plane→Flight, hotel→Hotel, meals→Meals, cab→Transport) → calculate Hotel total (3 × $180 = $540) → calculate Meals total (2 × $115 × 1.1 = $253) → fill in all 4 expense items with correct amounts → calculate grand total ($450 + $540 + $253 + $85 = $1,328) → submit report Verified methods:"," 1. Check database expense_reports table for submitted report with a name reflecting Q2 client trip context. Rubric-based: does the name reasonably describe the trip? +1.0 if reasonable.  2. Check expense_items table for all 4 items correctly mapped to categories with correct amounts:  - Flight: $450 (mapped from ""plane""). +1.0 if correct.  - Hotel: $540 (mapped from ""hotel"", 3 × $180). +1.0 if correct.  - Meals: $253 (mapped from ""lunch and dinner"", 2 × $115 × 1.1). +1.0 if correct.  - Transport: $85 (mapped from ""cab""). +1.0 if correct.  3. Check total amount=$1,328. +1.0 if correct.  Total max score: 6.0.","1. Expense management system with expense report creation feature  2. Expense categories in system: Flight, Hotel, Meals, Transport  (category names not mentioned in instruction — agent must map from natural language)  3. Report name field is free text with no suggestions  4. Each expense item has amount field and category selector  5. Company account pre-registered (corp_alex / corp_pass_2026)  6. A few existing expense reports showing naming conventions (e.g. ""Q1 Sales Trip - Chicago"", ""Feb Training - Boston"")",Browser Automation,expense-app,B1,
Finance & Data Analysis,XU Rongjian,finance-invoice-process,"Please check my email (http://localhost:5174/, open it in browser) for any new vendor invoices. If found, please log them into our accounting system (http://localhost:5175/).","Open email app → find invoice emails → extract invoice details (vendor name, invoice number, amount, date, line items) → open accounting system → log in → create new invoice record → map email invoice fields to accounting system fields (vendor table and category codes) → submit","1. Check accounting database invoices table for records matching all invoices in email. +1.0 per correctly logged invoice, max 2.0.  2. Check each invoice record contains correct vendor_id (mapped from vendor name), invoice_number, amount, date. +1.0 per complete record, max 2.0.  3. Check line items are correctly categorized using accounting system category codes. +0.5 per correctly categorized item, max 2.0.  Total max score: 6.0. ","1. Email with 2 vendor invoices: Invoice 1 - TechSupplies Co.:  Invoice #: INV-2026-0892  Date: 2026-03-28  Items: ""Office Equipment: $1,200"", ""Software License: $800""  Invoice 2 - CloudServices Ltd.:  Invoice #: INV-2026-0341  Date: 2026-03-29  Items: ""Cloud Storage: $450"", ""API Access: $300"", ""Support: $150"" 2. Background emails 3. Finance system with invoice creation feature and vendor table and category codes","Communication & Email, Browser Automation","email-app, finance-app",A1,
Finance & Data Analysis,XU Rongjian,finance-analysis-generate,"Please check my email (http://localhost:5174/, open it in browser) for the monthly analysis request. If found, analyze the financial data in our finance system (http://localhost:5175/) and send your findings and recommendations back to the requester.","Open email app → find report request email → extract analysis requirements → open finance system → navigate to relevant financial data → aggregate February and March data by department → analyze revenue trends across departments → calculate key metrics (profit margin, MoM change, expense ratios) → identify underperforming departments → identify anomalies or risks → form data-driven recommendations → compose analysis report with findings → send back to CFO via email","1. Check email database for outbound email to cfo@gmail.com. +1.0 if exists.
Check email contains analysis of all 3 required departments (Engineering, Marketing, Sales). +1.0 per included department, max 3.0. 2. Check email correctly identifies the underperforming department (Marketing, profit margin dropped from 24.0% in February to 14.6% in March). +1.0 if correctly identified. 3. Check email correctly identifies the anomalous spike in Engineering expenses (+45% MoM, from $200k in February to $290k in March). +1.0 if correctly identified. 4. Check email contains at least one data-driven recommendation per flagged issue. LLM judge: is the recommendation specific, actionable, and supported by the data? +0.0/+1.0 per recommendation, max 2.0. Total 7.0","1. Email from CFO (cfo@gmail.com) requesting: ""Please analyze our March 2026 financial performance for Engineering, Marketing, and Sales. I need your findings and any concerns you spot. Send me your analysis."" 2. Background emails 3. Finance system with per-month per-department rows for February and March 2026:
 Engineering: Feb Revenue=$800k, Expenses=$200k / Mar Revenue=$820k, Expenses=$290k
 Marketing: Feb Revenue=$500k, Expenses=$380k / Mar Revenue=$480k, Expenses=$410k
 Sales: Feb Revenue=$620k, Expenses=$310k / Mar Revenue=$640k, Expenses=$305k",,"finance-app, email-app","B1, C2",
Finance & Data Analysis,XU Rongjian,finance-anomaly-detect,Please review our transaction records in the finance system (http://localhost:5175/) and identify any suspicious transactions. The system has been reporting some data integrity issues recently.,"Open finance system → log in → navigate to Transaction List → browse all transactions → identify anomalies (duplicate entries, negative amounts, future dates, amounts exceeding approval limits) → diagnose root cause of each anomaly → flag each suspicious transaction in system","1. Check database transactions table for correctly flagged anomalous records. +1.0 per correctly flagged transaction, max 4.0.  2. Check that normal transactions have NOT been flagged. -1.0 per incorrectly flagged transaction.   Total max score: 4.0.","1. Finance system Transaction List with many records:  Normal transactions: 10 records with valid amounts, dates, categories.  Anomalous transactions (SHOULD be flagged):  - TXN-001: Duplicate of TXN-002 (same vendor, amount, date)  - TXN-005: Negative amount (-$2,300) in revenue category  - TXN-008: Future date (2026-12-31) on a completed transaction  - TXN-012: Amount $85,000 exceeding approval limit of $50,000 with no approval record 3. Transaction detail view showing all fields 4. Transaction records can be flagged with a flag buttion",,finance-app,"A2, B1",
Finance & Data Analysis,XU Rongjian,finance-tax-prepare,Please review the Q1 2026 transaction records in our finance system (http://localhost:5175/) and calculate our VAT liability. Send the breakdown to tax@gmail.com.,Open finance system → navigate to Transaction List → find all Q1 2026 sales invoices → find all purchase invoices → identify which purchase invoices qualify for input VAT deduction based on invoice type and expense category → calculate output VAT from sales revenue → calculate deductible input VAT from qualifying purchases only → calculate net VAT payable → compose VAT filing report → send to tax@gmail.com via email system (http://localhost:5174/),"1. Check email database for outbound email to tax@gmail.com +1.0 if exists.  2. Check email contains correctly calculated output VAT: 100 × 13% = 13. +1.0 if correct.  3. Check email contains correctly calculated deductible input VAT: 60 × 13% = 7.8 only. +1.0 if correct.  4. Check email contains correctly calculated net VAT payable: 13 - 7.8 = 5.2. +1.0 if correct.  5. Check email correctly identifies INV-P-002 and INV-P-003 as non-deductible with correct reasons. +1.0 if both identified. Rule-based.  6. Check email contains at least one filing recommendation. Rubric-based, evaluated by LLM judge: is the recommendation specific and actionable? +0.0/+1.0.","1. Finance system Transaction List with Q1 2026 records:  Sales invoices (output VAT):  - INV-S-001: Laptop batch sale, revenue=100w , VAT rate=13%  → output VAT = 13  Purchase invoices (input VAT):  - INV-P-001: Component parts from supplier, amount=60w, VAT rate=13%, =YES  → input VAT deductible = 7.8w  - INV-P-002: Office supplies, amount=5w, VAT rate=9%, VAT Invoice=NO  → input VAT NOT deductible   - INV-P-003: Business entertainment, amount=8w, VAT rate=6%, VAT Invoice=YES  → input VAT NOT deductible (entertainment expenses excluded by tax law)  2. Each invoice record shows: vendor/customer name, amount, VAT rate, invoice type  3. Agent must calculate:  - Output VAT: 100w× 13% = 13w  - Deductible input VAT: 60w × 13% = 7.8w only  - Net VAT payable: 13w - 7.8w = 5.2w  4. Knowledge base (http://localhost:5176/) with VAT deduction rules document:  - VAT Inovice required for input VAT deduction  - Entertainment expenses not eligible regardless of invoice type",,"finance-app, knowledge-base-app, email-app","B1, B2",
Finance & Data Analysis,XU Rongjian,finance-dashboard-repair,"Our finance dashboard for 2026 (http://localhost:5175/) has been reporting incorrect data. Please diagnose and fix all the issues with admin (account: admin, pwd: admin123) so the dashboard shows accurate information.","Open finance dashboard  → systematically browse all dashboard sections → identify data errors and display issues → diagnose root cause of each error (wrong formula, incorrect date range, double-counting, missing data) → for missing February 2026 data, open knowledge base → locate archived February 2026 financial records → extract correct figures → login with admin account → input missing data back into dashboard → fix formula errors and date range issues in dashboard config → verify all sections show correct data after fixes "," 1. Check dashboard formula for profit margin correctly uses net revenue as denominator. +1.0 if fixed.  2. Check dashboard date range correctly shows 2026 data instead of 2025. +1.0 if fixed.  3. Check dashboard expense total no longer double-counts Marketing department. +1.0 if fixed.  4. Check dashboard February 2026 data populated with correct figures from knowledge base:  - February Revenue: $385,000  - February Expenses: $298,000  - February Profit Margin: 22.6%  +1.0 per correctly restored figure, max 3.0.  5. Check other 3 dashboard metrics display correctly after all fixes. +1.0 per correctly displaying metric, max 3.0.  Total max score: 9.0.","1. Finance Dashboard for 2026 with 4 pre-existing errors:  Error 1: Revenue chart using wrong date range (showing 2025 data instead of 2026)  Error 2: Expense total formula double-counting Marketing department  Error 3: Profit margin calculation dividing by gross revenue instead of net revenue  Error 4: February 2026 data completely missing (NULL values) due to import error  2. Dashboard admin config panel accessible to admin users for editing formulas and date ranges  3. Data of February 2026 is missing 4. 4. Knowledge base containing archived February 2026 financial records:  - Monthly Archive section with February 2026 entry:  Revenue: $385,000  Expenses: $298,000  Profit Margin: 22.6%  Department breakdown: Engineering $142,000, Marketing $89,000, Sales $67,000, HR $0 (on leave)","Documents & Knowledge, Browser Automation","finance-app, knowledge-base-app","A1, A2, C2",
Finance & Data Analysis,XU Rongjian,finance-multi-account-reconcile,"Complete the March 2026 reconciliation and return the reconciliation summary in the note. Cross-reference the system balances with the bank statements, account for any pending transactions in the details view, and flag any unexplained material discrepancies.",Open finance system → navigate to Account Balance View → for each account check recorded balance vs statement balance → navigate to transaction detail view → identify pending/in-transit transactions → calculate adjusted balance (System Balance + Pending = Adjusted Balance) → compare adjusted balance with bank statement → determine if remaining discrepancy is explained or unexplained → assess materiality of unexplained discrepancies → flag material unexplained discrepancies → output reconciliation summary in the note,"Verified methods:  1. Check output contains reconciliation results in the note for all 3 accounts. +1.0 per included account, max 3.0.  2. Check output correctly in the note identifies discrepancy amounts after pending adjustment. +1.0 per correctly identified discrepancy, max 2.0.  3. Check output in the note correctly identifies ACC-001 and ACC-002 as matching with no unexplained discrepancy after pending transactions accounted for. +1.0 per correctly cleared account, max 2.0.  Total max score: 7.0.","1.  Finance system Account Balance View with 3 accounts: 2. Transaction detail view with Status column (Cleared/Pending): One account looks wrong on the summary but is correct in the details; another looks wrong and has no explanation in the details. 3. Knowledge base Bank Statements section containing March 2026 statements for ACC-001, ACC-002, ACC-003 with statement balances",Deep Research & Reporting,finance-app，workspace-app,"B1, C1",
Finance & Data Analysis,XU Rongjian,finance-investment-rebalance,"Please review the current portfolio in our portfolio system (http://localhost:5175/) and rebalance it to the new target allocation: Equities 60%, Fixed Income 30%, Cash 5%, Alternatives 5%. Then update the investment policy document in our knowledge base (http://localhost:5176/) with the new targets.",Open portfolio system → view current holdings as raw values → calculate total portfolio value → calculate current allocation percentages → compare with target allocations → identify overweight and underweight asset classes → calculate exact buy/sell amounts needed → assess rebalancing impact → execute buy/sell orders → verify new allocation matches target within tolerance → open knowledge base → update investment policy document with new targets,"1. Check portfolio database for updated holdings matching target allocation within 1% tolerance. +1.0 per correctly rebalanced asset class, max 4.0.  2. Check total portfolio value preserved within ±0.5% after rebalancing. +1.0 if preserved.  3. Check knowledge base investment policy document updated with new target allocations. +1.0 per correctly updated allocation entry, max 4.0.   Total max score: 9.0.","1. Portfolio system showing:  asset_class_code | asset_name | current_value  EQ | Equities | $1,764,000  FI | Fixed Income | $441,000  CA | Cash | $171,500  AL | Alternatives | $73,500 (Agent must calculate:  - Total portfolio value: $2,450,000  - Current allocations: EQ=72%, FI=18%, CA=7%, AL=3%  - Target values: EQ=$1,470,000, FI=$735,000, CA=$122,500, AL=$122,500  - Required trades: sell EQ $294,000, buy FI $294,000, sell CA $49,000, buy AL $49,000) 2. Portfolio system buy/sell order interface with asset_class_code selector and amount input with individual orders per asset 3. Knowledge base with existing investment policy document: - Old targets: Equities 70%, Fixed Income 20%, Cash 5%, Alternatives 5%  - Needs update to new targets with rebalancing rationale 5. Portfolio system uses asset_class_code (EQ/FI/CA/AL), knowledge base uses full asset names",Documents & Knowledge,"portfolio-app, knowledge-base-app","A1, B1, B2, C2",
Finance & Data Analysis,XU Rongjian,finance-depreciation-audit,"Please review the fixed asset records in our finance system (http://localhost:5175/) and verify that the depreciation calculations are correct. If you find any errors, correct them and update the asset management policy in our knowledge base (http://localhost:5176/).","Open finance system → navigate to fixed asset records → for each asset read cost basis, residual value, useful life, depreciation method → calculate correct depreciation using straight-line formula from knowledge base standards → compare with recorded depreciation → identify errors → diagnose root cause ( wrong cost basis, wrong method) → correct each asset record with correction reason → open knowledge base → update asset management policy with correct depreciation rules","1.  Check fixed asset records for correctly recalculated depreciation amounts:  - Asset A: correct annual depreciation = ($300,000 - $0) / 20 = $15,000. +1.0 if corrected.  - Asset B: correct annual depreciation = ($168,000 - $0) / 20 = $8,400. +1.0 if corrected.  - Asset C: correct annual depreciation = ($360,000 - $0) / 5 = $72,000. +1.0 if corrected. 2. Check each corrected record shows correct feature (useful life): - Asset A: 20 years. +1.0 if correct.  - Asset B: 20 years, cost basis updated to $168,000 (excluding VAT). +1.0 if correct.  - Asset C: 5 years, method updated to straight-line. +1.0 if correct. 3. Check each corrected asset record contains accurate correction reason. Rubric-based. +0.0/+1.0 per asset, max 3.0.  4. Check knowledge base asset management policy updated with:  - Depreciation method: straight-line only. +1.0 if updated.  - Vehicle useful life: 5 years. +1.0 if updated.  - Building renovation useful life: 20 years. +1.0 if updated.  - Cost basis excludes VAT. +1.0 if updated.  Total max score: 13.0.","1. Finance system fixed asset records with editable fields and mandatory Correction Reason field:  Asset A - Office Building Renovation, Cost basis: $300,000  Residual Value: $0  Useful life: 10 years (WRONG → should be 20)  Method: straight-line (correct)  Recorded annual depreciation: $30,000 (wrong)  Correct: ($300,000 - $0) / 20 = $15,000, Asset B - Manufacturing Equipment: Cost basis: $210,000 (WRONG → should be $168,000 excluding VAT)  Residual Value: $0  Useful life: 20 years (correct)  Method: straight-line (correct)  Recorded annual depreciation: $10,500 (wrong)  Correct: ($168,000 - $0) / 20 = $8,400, Asset C - Fleet Vehicles: Cost basis: $360,000  Residual Value: $0  Useful life: 15 years (WRONG → should be 5)  Method: declining balance (WRONG → should be straight-line)  Recorded annual depreciation: $24,000 (wrong)  Correct: ($360,000 - $0) / 5 = $72,000. 2Knowledge base with two documents:  Document 1 - Accounting Standards Reference: Straight-line formula: (Cost - Residual Value) / Useful Life  Standard useful life by category:  Buildings and renovations: 20 years  Manufacturing equipment: 10-20 years  Vehicles: 5 years  Office equipment: 5 years  Software: 3 years  VAT treatment: cost basis must exclude VAT  Residual value: use value shown in asset record, Document 2 - Asset Management Policy (needs update): Currently states: ""depreciation method at management discretion""  Currently states: ""vehicle useful life: 10 years""  Currently states: ""building renovation useful life: 10 years""  Currently states: no mention of VAT treatment for cost basis","Documents & Knowledge, Browser Automation",knowledge-base-app,"A2, B1, B2, C2",
Content Creation & Multimedia,Gao Ying,video-subtitle-translation,"I recently received an English video file in my file system (http://localhost:5174/, open it in browser). Please help me translate the video into a Chinese subtitled version. The output should be a standard .srt subtitle file and should be accurate and synchronized with the audio.","
1. Access filesystem-app and navigate the directory to identify the target English video among other files.
2. Download or stream the video file.
3. Extract the audio track using ffmpeg.
4. Utilize the pre-installed Speech-to-Text (STT) tool (e.g., Whisper) to generate an English transcript with timestamps.
5. Translate the English text into Chinese using the available translation API.
6. Format the translated text and timestamps into a .srt file.
7. Save the resulting .srt file back to the file system or the specified output directory.","
The verification script compares the agent's output against a pre-computed reference .srt file. Scoring is normalized to 1.0:
+0.2: Output file is a valid, parseable .srt format with at least 20 cues.
• +0.2: Han ratio (CJK Han characters / total characters) $\ge 0.60$ to ensure Chinese translation.
• +0.3: Content Accuracy: chrF(agent_subs, reference_subs) >=0.60. This uses a direct string comparison against the gold standard reference.
• +0.3: Temporal Alignment: At least 80% of the cues must have a start/end time within ±1.0s of the reference timestamps.","
1. Video Assets: a English video file(30s), plus ""distractor"" files (PDFs, logs, non-target videos, Japanese video file) to test file selection.
2. Environment/Tools: The container must have ffmpeg and python-pysubs2 installed. Mocked or local STT and Translation APIs must be reachable; allow_internet set as true.
3. Ground Truth: A high-quality reference .srt file for each video used for scoring.",Browser Automation; Multimodal Interaction,filesystem-app,"A4, B1",
Content Creation & Multimedia,Gao Ying,video-trimming,"I have a dance performance video in my filesystem-app. The video contains some preparation footage (e.g., the dancer walking onto the stage, adjusting their outfit, and waiting for the music) before the actual performance starts. Please help me trim the video to remove these irrelevant opening segments so that the final video starts exactly when the dance begins. ","Locate File: Open filesystem-app to identify the dance video file.
→ Analyze Content: scan the initial frames or use a multi-modal tool to identify the specific timestamp T_start where the ""pre-performance preparation"" ends and the ""actual dance"" begins (e.g., music starts or the dancer moves into the opening pose).
→ Set Boundary: Navigate to the identified T_start on the timeline.
→ Execute Trim: Use the trim/cut tool to remove all footage prior to T_start.
→ Export: Save or export the edited video with a new filename in the filesystem-app.","0)Ground Truth (GT): define a precise timestamp T_start=12s where the dance starts.
1)Verify that a new video file is created in file system&no edition in original file. 
2)Duration delta check: Let \Delta = |Duration_{edited} - (Duration_{original} - T_{start})|.
Pass if \Delta<1s.
3)Content Alignment via SSIM:  Compare the first frame of the edited video (t=0.0s) with the frame at T_{start} of the original video.
Pass if SSIM>0.90.
Score 1.0 if 3 all pass; otherwise 0.0.
","file system environment containing target video(mp4) and other irrelevant files.
1.video length: 4'05
2.T_start=12s",Multimodal Interaction,filesystem-app,"A4, B1",
Content Creation & Multimedia,Gao Ying,ppt-revision-from-email,"I have an existing PowerPoint presentation in my file system that introduces a project. I received an urgent email in my company email system (http://localhost:5174/, open it in browser) containing updated meeting details and some suggestions for improving the presentation content. Please help me review the email, identify the required changes, and save a revised version in the same folder.","Open email system in browser → locate the latest email related to the presentation update → read and extract key information (updated meeting time, requested content changes, feedback) → open the existing PowerPoint file → identify slides relevant to the requested changes → modify slide content accordingly (e.g. update text, adjust structure, add/remove slides) → update presentation metadata if needed (e.g. title/date) → save the revised PowerPoint","1)A new .ppt/.pptx file generated in file sysytem.
2)Meeting Date, Meeting Time and Timezone match exactly with the email.
3)Update Accuracy:  Identify 2 specific factual changes requested in the email and verify that the old value is gone and the new value is present on the correct slide.
Score 1.0 if 3 all pass; otherwise 0.0.","1.Email System Mock (localhost:5174):
The Target Email: Subject: ""URGENT: Revised Meeting for Helios""; Timestamp: ""April 6, 2026, 09:00 AM""; Content: ""Move meeting to Oct 20, 3PM PST at [Link B]. Also, on the 'Market Analysis' slide, please update the CAGR from 5% to 12%.""
Distractor Email 1 (Old): Subject: ""Project Helios Meeting""; Timestamp: ""April 5, 2026""; Content: ""Meeting on Oct 19, 1PM PST at [Link A].""
Distractor Email 2 (Unrelated): Subject: ""Lunch Menu""; Timestamp: ""April 6, 2026""; Content: ""Today's specials...""

2.Original PPT File (Project_Overview.pptx):
Slide 1 (Title): Contains placeholder date ""TBD"" and ""Location: To be announced.""
Slide 3 (Market Analysis): Contains the text: ""Current projections show a CAGR of 5%.""
",Communication & Email; Documents & Knowledge,email-app; filesystem-app,A1; A2; B1,
